"","doi_o","doi_r","apa_ref_r"
"160","10.1126/science.7455683","10.1016/j.ssci.2020.105065","Otterbring, T., Festila, A., & Folwarczny, M. (2021). Replication and extension of framing effects to compliance with health behaviors during pandemics. Safety Science, 134, 105065. https://doi.org/10.1016/j.ssci.2020.105065"
"161","10.1126/science.7455683","10.1073/pnas.2202700119","Litovsky, Y., Loewenstein, G., Horn, S., & Olivola, C. Y. (2022). Loss aversion, the endowment effect, and gain-loss framing shape preferences for noninstrumental information. Proceedings of the National Academy of Sciences, 119(34). https://doi.org/10.1073/pnas.2202700119"
"162","10.1163/156853706776931222","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/p48sa/"
"163","10.1163/156853706776931222","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/p48sa/files/mr3nb"
"164","10.1177/0261927x01020004004","10.5334/irsp.522","Brohmer, H., Hofer, G., Bauch, S. A., Beitner, J., Berkessel, J. B., Corcoran, K., Garcia, D., Gruber, F. M., Giuliani, F., Jauk, E., Krammer, G., Malkoc, S., Metzler, H., Mües, H. M., Otto, K., Rahal, R.-M., Salwender, M., Sczesny, S., Stahlberg, D., … Athenstaedt, U. (2024). Effects of the Generic Masculine and Its Alternatives in Germanophone Countries: A Multi-Lab Replication and Extension of Stahlberg, Sczesny, and Braun (2001). International Review of Social Psychology, 37(1). https://doi.org/10.5334/irsp.522"
"165","10.1177/0261927x01020004004","10.1525/collabra.32964","Keith, N., Hartwig, K., & Richter, T. (2022). Ladies First or Ladies Last: Do Masculine Generics Evoke a Reduced and Later Retrieval of Female Exemplars? Collabra: Psychology, 8(1). https://doi.org/10.1525/collabra.32964"
"166","10.1177/0956797609359908","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"167","10.1177/0956797609359908","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"168","10.1177/0956797609359908",NA,"Safin, V., Kline Struhl, M., Miske, O., Loomas, Z., Luis, B., Losi, M., & Yttredahl, A. (2025, November 18). SCORE new data replication of Savani et al. (2010). Retrieved from osf.io/afznv"
"169","10.1177/0956797610383437","10.1177/0956797614553946","Ranehill, E., Dreber, A., Johannesson, M., Leiberg, S., Sul, S., & Weber, R. A. (2015). Assessing the Robustness of Power Posing. Psychological Science, 26(5), 653–656. https://doi.org/10.1177/0956797614553946"
"170","10.1177/0956797610383437","10.1177/1948550616652209","Garrison, K. E., Tang, D., & Schmeichel, B. J. (2016). Embodying Power. Social Psychological and Personality Science, 7(7), 623–630. https://doi.org/10.1177/1948550616652209"
"171","10.1177/0956797610383437","10.1080/23743603.2016.1248081","Ronay, R., Tybur, J. M., van Huijstee, D., & Morssinkhof, M. (2016). Embodied power, testosterone, and overconfidence as a causal pathway to risk-taking. Comprehensive Results in Social Psychology, 2(1), 28–43. https://doi.org/10.1080/23743603.2016.1248081"
"172","10.1177/0956797611413935","10.1093/scan/nsx012","Yanagisawa, K., Kashima, E. S., Moriya, H., Masui, K., Furutani, K., Yoshida, H., Ura, M., & Nomura, M. (2017). Tolerating dissimilar other when primed with death: neural evidence of self-control engaged by interdependent people in Japan. Social Cognitive and Affective Neuroscience, 12(6), 910–917. https://doi.org/10.1093/scan/nsx012"
"173","10.1177/0956797611413935",NA,"Talhelm, T., Kline Struhl, M., Loomas, Z., Miske, O., & Luis, B. (2026, February 27). SCORE new data replication of Ma-Kellams & Blascovich (2011). https://doi.org/10.17605/OSF.IO/CR6ZM"
"174","10.1177/0956797611432497","10.1027/1864-9335/a000191","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does Recalling Moral Behavior Change the Perception of Brightness? Social Psychology, 45(3), 246–252. https://doi.org/10.1027/1864-9335/a000191"
"175","10.1177/0956797611432497","10.1027/1864-9335/a000191","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does Recalling Moral Behavior Change the Perception of Brightness? Social Psychology, 45(3), 246–252. https://doi.org/10.1027/1864-9335/a000191"
"176","10.1177/0956797611434748","10.1016/j.cognition.2014.09.003","Schmidt, A. F., & Kistemaker, L. M. (2015). The sexualized-body-inversion hypothesis revisited: Valid indicator of sexual objectification or methodological artifact? Cognition, 134, 77–84. https://doi.org/10.1016/j.cognition.2014.09.003"
"177","10.1177/0956797611434748","10.1371/journal.pone.0229161","Zogmaister, C., Durante, F., Mari, S., Crippa, F., & Volpato, C. (2020). Measuring objectification through the Body Inversion Paradigm: Methodological issues. PLOS ONE, 15(2), e0229161. https://doi.org/10.1371/journal.pone.0229161"
"178","10.1177/0956797613508412","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/psych251/wilkins2014/blob/master/writeup/project_report.html"
"179","10.1177/0956797613508412",NA,NA
"180","10.1177/0956797613508412","10.1177/1948550618792057","Crawford, J. T., Vodapalli, S., Stingel, R. E., & Ruscio, J. (2018). Do Status-Legitimizing Beliefs Moderate Effects of Racial Progress on Perceptions of Anti-White Bias? A Replication of Wilkins and Kaiser (2014). Social Psychological and Personality Science, 10(6), 768–774. https://doi.org/10.1177/1948550618792057"
"181","10.1177/0956797614563108","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"182","10.1177/0956797614563108","10.1177/0956797620922477","Gervais, W. M., McKee, S. E., & Malik, S. (2020). Do Religious Primes Increase Risk Taking? Evidence Against “Anticipating Divine Protection” in Two Preregistered Direct Replications of Kupor, Laurin, and Levav (2015). Psychological Science, 31(7), 858–864. https://doi.org/10.1177/0956797620922477"
"183","10.1177/0956797614563958","10.1073/pnas.2103313118","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44). https://doi.org/10.1073/pnas.2103313118 Individual report available at https://osf.io/a2e96/"
"184","10.1177/0956797614563958","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/wuphins/159194"
"185","10.1177/0956797615573516","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"186","10.1177/0956797615573516","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/jackie_schwartz/341565"
"187","10.1177/0956797615612202","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"188","10.1177/0956797615612202","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/psych251/porter2016/blob/master/writeup/Replication%20of%20Study%201%20by%20Porter%20et%20al.Rmd"
"189","10.1177/0956797615624492","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/klsanch/pilotAwriteup"
"190","10.1177/0956797615624492","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/mateusmazza/project_report_pilotB"
"191","10.1177/0956797615625640","10.1073/pnas.2103313118","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44). https://doi.org/10.1073/pnas.2103313118"
"192","10.1177/0956797615625640","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/szion/341843"
"193","10.1177/0956797616685771","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"194","10.1177/0956797616685771","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/vboyce/251-254-MA/blob/main/reports/jordan2017_2.html"
"195","10.1177/0956797617721270","10.1016/j.actpsy.2022.103497","Straub, E. R., Dames, H., Kiesel, A., & Dignath, D. (2022). Does body posture reduce the Stroop effect? Evidence from two conceptual replications and a meta-analysis. Acta Psychologica, 224, 103497. https://doi.org/10.1016/j.actpsy.2022.103497"
"196","10.1177/0956797617721270","10.1177/0956797620953842","Caron, E. E., Reynolds, M. G., Ralph, B. C. W., Carriere, J. S. A., Besner, D., & Smilek, D. (2020). Does Posture Influence the Stroop Effect? Psychological Science, 31(11), 1452–1460. https://doi.org/10.1177/0956797620953842"
"197","10.1177/1948550619843931","10.1177/19485506241257971","Weidmann, R., Alabdullah, A., Warkentien, J., Vesikar, S., Denehy, M. E., Yang, H., Rakhshani, A., Brent Donnellan, M., & Lucas, R. E. (2024). Does Perceived Similarity Between Present and Future Self Predict Well-Being? A Reanalysis and Replication of. Social Psychological and Personality Science, 15(7), 791–801. https://doi.org/10.1177/19485506241257971"
"198","10.1177/1948550619843931","10.31234/osf.io/3xrbj","Weidmann, R., Alabdullah, A., Warkentien, J., Vesikar, S., Denehy, M. E., Yang, H., Rakhshani, A., Donnellan, B., & Lucas, R. E. (2023). Does Perceived Similarity Between Present and Future Self Predict Well-Being?  A Re-Analysis and Replication of Reiff et al. (2020). https://doi.org/10.31234/osf.io/3xrbj"
"199","10.1177/2167702614545216","10.1080/13506285.2024.2343157","MacDonald, J., Lee, S., & Wilbiks, J. (2023). Generalized anxiety disorder and selective attention: An unsuccessful replication of Yiend et al., (2015) in a student population. Visual Cognition, 31(10), 722–730. https://doi.org/10.1080/13506285.2024.2343157"
"200","10.1177/2167702614545216",NA,"Parsons, E. S., Miske, O., Luis, B., Loomas, Z., Kline Struhl, M., Fox, N. W., … Wilbiks, J. (2025, November 18). SCORE new data replication of Yiend et al. (2014). Retrieved from osf.io/p2st5"
"201","10.1207/s15324834basp2504_5","10.17605/osf.io/rge23","Eva-Monika Rieger, Doetsch, C. A., Röseler, L., Müller, A. M., Gianella, D., Boakye, P. O., Friedinger, K., Förster, N., &amp; Wild, A. (2022). Replication of Geers and Lassiter (2003, Study 1): Affective Expectations and Need for Cognition. <i>OSF</i>. https://doi.org/10.17605/OSF.IO/RGE23"
"202","10.1207/s15324834basp2504_5","10.31234/osf.io/akfzh","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A.-K., Deublein, M., Rieger, E.-M., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter (2003). https://doi.org/10.31234/osf.io/akfzh"
"203","10.1249/mss.0000000000000818","10.70252/nkky8370","Bakhshinejad, J., Hutchinson, J., Murphy, J., Trainor, L., Friedman, S., & Coker, N. (2025). The Effects of Augmented Feedback, Focus of Attention, and Monetary Reward on Vertical Jump Height: A Replication Study. International Journal of Exercise Science, 18(7), 13–26. https://doi.org/10.70252/nkky8370"
"204","10.1249/mss.0000000000000818","10.1007/s40279-025-02201-w","Murphy, J., Caldwell, A. R., Mesquida, C., Ladell, A. J. M., Encarnación-Martínez, A., Tual, A., Denys, A., Cameron, B., Van Hooren, B., Parr, B., DeLucia, B., Mason, B. R. J., Clark, B., Egan, B., Brown, C., Ade, C., Sforza, C., Taber, C. B., Kirk, C., … Warne, J. P. (2025). Estimating the Replicability of Sports and Exercise Science Research. Sports Medicine, 55(10), 2659–2679. https://doi.org/10.1007/s40279-025-02201-w"
"205","10.3389/fpsyg.2014.01276","10.17605/osf.io/j8a4p","Poulter, L., Mahlke, J., Graff, M., Koenig, B., Lee, A., Gentry, A., Weaver, A., &amp; MyKel Marie Hall. (2018). <i>Huang (2014) Replication</i>. OSF Registries. https://doi.org/10.17605/OSF.IO/J8A4P"
"206","10.3389/fpsyg.2014.01276","10.17605/osf.io/uxajg","Jackson, D., Sanders, C., Koenig, B., Davis, C., &amp; Adams, D. (2018). <i>Response Effort on Cleanliness Priming for Moral Judgements</i>. OSF Registries. https://doi.org/10.17605/OSF.IO/UXAJG"
"207","10.3758/bf03197186","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"208","10.3758/bf03197186","10.1017/s1930297500008299","Chandrashekar, S. P., Weber, J., Chan, S. Y., Cho, W. Y., Chu, T. C. C., Cheng, B. L., & Feldman, G. (2021). Accentuation and compatibility: Replication and extensions of Shafir (1993) to rethink choosing versus rejecting paradigms. Judgment and Decision Making, 16(1), 36–56. https://doi.org/10.1017/s1930297500008299"
"209","10.3758/bf03197186","10.1017/jdm.2023.48","Shafir, E., & Cheek, N. N. (2024). Choosing, rejecting, and closely replicating, 30 years later: A commentary on Chandrashekar et al. Judgment and Decision Making, 19. https://doi.org/10.1017/jdm.2023.48"
"210","10.3758/s13414-019-01723-6","10.1016/j.actpsy.2022.103497","Straub, E. R., Dames, H., Kiesel, A., & Dignath, D. (2022). Does body posture reduce the Stroop effect? Evidence from two conceptual replications and a meta-analysis. Acta Psychologica, 224, 103497. https://doi.org/10.1016/j.actpsy.2022.103497"
"211","10.3758/s13414-019-01723-6","10.1027/1618-3169/a000567","Caron, E. E., Marusich, L. R., Bakdash, J. Z., Ballotti, R. J., Tague, A. M., Carriere, J. S. A., Smilek, D., Harter, D., Lu, S., & Reynolds, M. G. (2022). The Influence of Posture on Attention. Experimental Psychology, 69(6), 295–307. https://doi.org/10.1027/1618-3169/a000567"
"212","10.1037/0022-3514.37.10.1660","10.1525/collabra.18738","McCarthy, R., Gervais, W., Aczel, B., Al-Kire, R. L., Aveyard, M., Marcella Baraldo, S., Baruh, L., Basch, C., Baumert, A., Behler, A., Bettencourt, A., Bitar, A., Bouxom, H., Buck, A., Cemalcilar, Z., Chekroun, P., Chen, J. M., del Fresno- Díaz, Á., Ducham, A., … Zogmaister, C. (2021). A Multi-Site Collaborative Study of the Hostile Priming Effect. Collabra: Psychology, 7(1). https://doi.org/10.1525/collabra.18738"
"213","10.1037/0022-3514.37.10.1660","10.1177/2515245918777487","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczel, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben-Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., … Yıldız, E. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3), 321–336. https://doi.org/10.1177/2515245918777487"
"214","10.1037/0022-3514.37.10.1660","10.1177/2515245918777487","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczel, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben-Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., … Yıldız, E. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3), 321–336. https://doi.org/10.1177/2515245918777487"
"215","10.1037/h0093718","10.1371/journal.pone.0294325","Franzen, A., & Mader, S. (2023). The power of social influence: A replication and extension of the Asch experiment. PLOS ONE, 18(11), e0294325. https://doi.org/10.1371/journal.pone.0294325"
"216","10.1037/h0093718","10.31820/pt.28.3.7","Ušto, M., Drače, S., & Hadžiahmetović, N. (2019). Replikacija Aschova efekta u Bosni i Hercegovini. Psihologijske Teme, 28(3), 589–599. https://doi.org/10.31820/pt.28.3.7"
"217","10.1056/nejmoa1007064","10.1167/iovs.10-6497","Riazuddin, S. A., McGlumphy, E. J., Yeo, W. S., Wang, J., Katsanis, N., & Gottsch, J. D. (2011). Replication of theTCF4Intronic Variant in Late-Onset Fuchs Corneal Dystrophy and Evidence of Independence from theFCD2Locus. Investigative Opthalmology &amp; Visual Science, 52(5), 2825. https://doi.org/10.1167/iovs.10-6497"
"218","10.1056/nejmoa1007064","10.1371/journal.pone.0018044","Li, Y.-J., Minear, M. A., Rimmler, J., Zhao, B., Balajonda, E., Hauser, M. A., Allingham, R. R., Eghrari, A. O., Riazuddin, S. A., Katsanis, N., Gottsch, J. D., Gregory, S. G., Klintworth, G. K., & Afshari, N. A. (2011). Replication of TCF4 through Association and Linkage Studies in Late-Onset Fuchs Endothelial Corneal Dystrophy. PLoS ONE, 6(4), e18044. https://doi.org/10.1371/journal.pone.0018044"
"219","10.1093/sf/soy014","10.1080/23251042.2021.1975350","Mallinson, D. J., & Cheng, K. J. G. (2021). The relationship between state-level carbon emissions and average working hours in the United States: a replication study. Environmental Sociology, 8(1), 88–93. https://doi.org/10.1080/23251042.2021.1975350"
"220","10.1093/sf/soy014",NA,"Mallinson, D. J., Cheng, K. G., Tyner, A. H., Loomas, Z., Miske, O., Luis, B., … Hahn, K. (2026, February 27). SCORE secondary data replication of Fitzgerald et al. (2018). https://doi.org/10.17605/OSF.IO/M4YSE"
"221","10.1080/0958519032000114237","10.1108/jgm-12-2014-0055","Salamin, X., & Davoine, E. (2015). International adjustment of female vs male business expatriates. A replication study in Switzerland. Journal of Global Mobility, 3(2), 183–212. https://doi.org/10.1108/jgm-12-2014-0055"
"222","10.1080/0958519032000114237","10.1504/ejim.2010.031281","Haslberger, A. (2010). Gender differences in expatriate adjustment. European J. of International Management, 4(1/2), 163. https://doi.org/10.1504/ejim.2010.031281"
"223","10.1017/s0272263110000264","10.1111/lang.70005","McManus, K., Bayas, K., Kerschen, K., Khoruzhaya, Y., Zhuang, J., & Magnuson, A. (2025). Revisiting Blocking Effects in Second Language Learning: A Close Replication of Ellis and Sagarra (2010b). Language Learning. Portico. https://doi.org/10.1111/lang.70005"
"224","10.1017/s0272263110000264","10.1017/s0272263111000325","Ellis, N. C., & Sagarra, N. (2011). LEARNED ATTENTION IN ADULT LANGUAGE ACQUISITION. Studies in Second Language Acquisition, 33(4), 589–624. https://doi.org/10.1017/s0272263111000325"
"225","10.1080/14719037.2013.822532","10.1111/padm.70001","Chen, Y. (2025). A Replication of “Did New Public Management Matter? An Empirical Analysis of the Outsourcing and Decentralization Effects on Public Sector Size.” Public Administration, 103(3), 942–953. Portico. https://doi.org/10.1111/padm.70001"
"226","10.1080/14719037.2013.822532","10.1111/padm.70001","Chen, Y. (2025). A Replication of “Did New Public Management Matter? An Empirical Analysis of the Outsourcing and Decentralization Effects on Public Sector Size.” Public Administration, 103(3), 942–953. Portico. https://doi.org/10.1111/padm.70001"
"227","10.1109/32.988711","10.1109/reser.2011.10","Krein, J. L., Pratt, L. J., Swenson, A. B., MacLean, A. C., Knutson, C. D., & Eggett, D. L. (2011). Design Patterns in Software Maintenance: An Experiment Replication at Brigham Young University. 2011 Second International Workshop on Replication in Empirical Software Engineering Research, 25–34. https://doi.org/10.1109/reser.2011.10"
"228","10.1109/32.988711","10.1109/reser.2011.8","Juristo, N., & Vegas, S. (2011). Design Patterns in Software Maintenance: An Experiment Replication at UPM - Experiences with the RESER’11 Joint Replication Project. 2011 Second International Workshop on Replication in Empirical Software Engineering Research, 7–14. https://doi.org/10.1109/reser.2011.8"
"229","10.1109/32.988711","10.1109/reser.2011.12","Prechelt, L., & Liesenberg, M. (2011). Design Patterns in Software Maintenance: An Experiment Replication at Freie Universit&amp;#x0E4;t Berlin. 2011 Second International Workshop on Replication in Empirical Software Engineering Research, 1–6. https://doi.org/10.1109/reser.2011.12"
"230","10.1016/j.compedu.2013.12.004","10.1111/jcal.12211","van Wermeskerken, M., Grimmius, B., & van Gog, T. (2017). Attention to the model’s face when learning from video modeling examples in adolescents with and without autism spectrum disorder. Journal of Computer Assisted Learning, 34(1), 32–41. Portico. https://doi.org/10.1111/jcal.12211"
"231","10.1016/j.compedu.2013.12.004","10.1016/j.compedu.2017.05.013","van Wermeskerken, M., & van Gog, T. (2017). Seeing the instructor’s face and gaze in demonstration video examples affects attention allocation but not learning. Computers &amp; Education, 113, 98–107. https://doi.org/10.1016/j.compedu.2017.05.013"
"232","10.1037/a0031337","10.1037/xlm0000490","Mulligan, N. W., Rawson, K. A., Peterson, D. J., & Wissman, K. T. (2018). The replicability of the negative testing effect: Differences across participant populations. Journal of Experimental Psychology: Learning, Memory, and Cognition, 44(5), 752–763. https://doi.org/10.1037/xlm0000490"
"233","10.1037/a0031337","10.1037/xlm0000127","Rawson, K. A., Wissman, K. T., & Vaughn, K. E. (2015). Does testing impair relational processing? Failed attempts to replicate the negative testing effect. Journal of Experimental Psychology: Learning, Memory, and Cognition, 41(5), 1326–1336. https://doi.org/10.1037/xlm0000127"
"234","10.1177/0956797620939054","10.1177/09567976211024535","Roozenbeek, J., Freeman, A. L. J., & van der Linden, S. (2021). How Accurate Are Accuracy-Nudge Interventions? A Preregistered Direct Replication of Pennycook et al. (2020). Psychological Science, 32(7), 1169–1178. https://doi.org/10.1177/09567976211024535"
"235","10.1177/0956797620939054","10.1037/tmb0000086","Gavin, L., McChesney, J., Tong, A., Sherlock, J., Foster, L., & Tomsa, S. (2022). Fighting the spread of COVID-19 misinformation in Kyrgyzstan, India, and the United States: How replicable are accuracy nudge interventions? Technology, Mind, and Behavior, 3(3), 389–400. https://doi.org/10.1037/tmb0000086"
"236","10.1038/nature06288","10.1111/desc.13581","Lucca, K., Yuen, F., Wang, Y., Alessandroni, N., Allison, O., Alvarez, M., Axelsson, E. L., Baumer, J., Baumgartner, H. A., Bertels, J., Bhavsar, M., Byers‐Heinlein, K., Capelier‐Mourguy, A., Chijiiwa, H., Chin, C. S. ‐S., Christner, N., Cirelli, L. K., Corbit, J., Daum, M. M., … Hamlin, J. K. (2024). Infants’ Social Evaluation of Helpers and Hinderers: A Large‐Scale, Multi‐Lab, Coordinated Replication Study. Developmental Science, 28(1). Portico. https://doi.org/10.1111/desc.13581"
"237","10.1038/nature06288","10.1098/rsos.191795","Schlingloff, L., Csibra, G., & Tatone, D. (2020). Do 15-month-old infants prefer helpers? A replication of Hamlin            et al            . (2007). Royal Society Open Science, 7(4), 191795. https://doi.org/10.1098/rsos.191795"
"238","10.1111/1467-9280.00168","10.1016/j.actpsy.2026.106214","Gaál, Z. A., Kojouharova, P., Czigler, I., & Nagy, B. (2026). Revisiting object contextual cueing: A replication study on implicit learning. Acta Psychologica, 263, 106214. https://doi.org/10.1016/j.actpsy.2026.106214"
"239","10.1111/1467-9280.00168","10.1101/2025.07.30.667636","Gaál, Z. A., Kojouharova, P., Czigler, I., & Nagy, B. (2025). Revisiting object contextual cueing: A replication study on implicit learning. https://doi.org/10.1101/2025.07.30.667636"
"240","10.1126/science.1128317","10.1037/edu0000141","Hanselman, P., Rozek, C. S., Grigg, J., & Borman, G. D. (2017). New evidence on self-affirmation effects and theorized sources of heterogeneity from large-scale replications. Journal of Educational Psychology, 109(3), 405–424. https://doi.org/10.1037/edu0000141"
"241","10.1126/science.1128317","10.1080/00221546.2019.1650582","Baker, D. J., Skinner, B. T., & Redding, C. H. (2019). Affirmative Intervention to Reduce Stereotype Threat Bias: Experimental Evidence from a Community College. The Journal of Higher Education, 91(5), 722–754. https://doi.org/10.1080/00221546.2019.1650582"
"242","10.1126/science.1128317","10.1177/1948550616646426","Protzko, J., & Aronson, J. (2016). Context Moderates Affirmation Effects on the Ethnic Achievement Gap. Social Psychological and Personality Science, 7(6), 500–507. https://doi.org/10.1177/1948550616646426"
"243","10.1037/0003-066x.60.5.410",NA,NA
"244","10.1037/0003-066x.60.5.410","10.1002/jclp.21839","Mongrain, M., & Anselmo-Matthews, T. (2012). Do Positive Psychology Exercises Work? A Replication of Seligman et al. (). Journal of Clinical Psychology, 68(4). Portico. https://doi.org/10.1002/jclp.21839"
"245","10.1037/0096-1523.1.3.288",NA,NA
"246","10.1037/0096-1523.1.3.288","10.31219/osf.io/x394e_v2","Seda, L., Fatori, D., & Batistuzzo, M. C. (2025). Hindsight Bias: A Preregistered Replication Study Of Fischhoff (1975) With An Extension On Depressive Symptoms As Moderation. https://doi.org/10.31219/osf.io/x394e_v2"
